iter	Passed	Remaining
0	45	45689
1	53	26852
2	61	20293
3	69	17291
4	77	15391
5	84	14042
6	92	13128
7	117	14531
8	125	13787
9	133	13168
10	140	12631
11	148	12216
12	155	11836
13	164	11619
14	172	11338
15	180	11106
16	187	10866
17	195	10681
18	200	10358
19	205	10085
20	211	9838
21	215	9574
22	220	9349
23	225	9155
24	230	8984
25	234	8791
26	239	8617
27	243	8465
28	248	8335
29	253	8195
30	260	8157
31	265	8037
32	270	7928
33	275	7838
34	280	7727
35	284	7620
36	287	7478
37	291	7391
38	296	7298
39	301	7233
40	305	7153
41	310	7074
42	314	6999
43	319	6931
44	324	6879
45	328	6810
46	333	6759
47	338	6708
48	342	6639
49	347	6593
50	351	6536
51	356	6496
52	359	6425
53	363	6375
54	367	6313
55	371	6262
56	375	6218
57	380	6179
58	384	6134
59	388	6083
60	391	6033
61	395	5988
62	399	5937
63	402	5890
64	406	5853
65	410	5815
66	414	5776
67	418	5741
68	423	5708
69	427	5676
70	432	5660
71	436	5631
72	441	5600
73	445	5573
74	450	5550
75	454	5523
76	459	5506
77	463	5479
78	470	5484
79	474	5462
80	479	5443
81	484	5428
82	490	5416
83	496	5411
84	501	5402
85	507	5397
86	513	5386
87	517	5360
88	522	5345
89	527	5336
90	533	5328
91	540	5333
92	544	5313
93	549	5291
94	552	5267
95	556	5243
96	561	5230
97	566	5218
98	572	5212
99	577	5193
100	581	5172
101	585	5152
102	589	5131
103	593	5110
104	597	5089
105	601	5069
106	604	5047
107	609	5030
108	612	5010
109	616	4991
110	621	4974
111	625	4956
112	628	4933
113	632	4913
114	636	4896
115	640	4878
116	644	4861
117	648	4844
118	652	4827
119	657	4820
120	661	4804
121	665	4789
122	670	4780
123	674	4767
124	679	4756
125	683	4741
126	687	4728
127	692	4718
128	696	4704
129	701	4696
130	706	4685
131	713	4693
132	720	4698
133	725	4687
134	730	4677
135	736	4676
136	741	4669
137	745	4658
138	751	4656
139	757	4650
140	762	4643
141	767	4635
142	771	4622
143	775	4608
144	779	4596
145	783	4584
146	788	4578
147	793	4566
148	797	4554
149	801	4542
150	805	4529
151	809	4518
152	814	4508
153	818	4497
154	822	4486
155	826	4473
156	831	4463
157	834	4449
158	838	4436
159	843	4430
160	848	4422
161	852	4411
162	856	4399
163	860	4387
164	864	4374
165	868	4361
166	871	4349
167	875	4337
168	878	4320
169	881	4306
170	885	4292
171	889	4280
172	893	4270
173	897	4258
174	900	4247
175	905	4240
176	909	4229
177	913	4219
178	917	4207
179	921	4197
180	925	4186
181	929	4175
182	932	4163
183	936	4152
184	940	4142
185	944	4132
186	951	4137
187	957	4136
188	961	4126
189	965	4116
190	969	4107
191	973	4098
192	977	4088
193	981	4079
194	985	4069
195	989	4060
196	993	4051
197	998	4043
198	1002	4035
199	1006	4025
200	1010	4015
201	1014	4007
202	1018	3998
203	1022	3989
204	1026	3979
205	1030	3970
206	1034	3961
207	1038	3952
208	1041	3943
209	1047	3939
210	1054	3941
211	1058	3934
212	1063	3928
213	1066	3918
214	1070	3910
215	1075	3902
216	1079	3894
217	1083	3887
218	1088	3882
219	1094	3878
220	1097	3869
221	1101	3859
222	1105	3851
223	1109	3842
224	1113	3833
225	1116	3824
226	1120	3815
227	1123	3805
228	1127	3797
229	1131	3789
230	1135	3781
231	1140	3775
232	1144	3768
233	1148	3759
234	1152	3752
235	1157	3745
236	1161	3739
237	1167	3737
238	1171	3730
239	1176	3724
240	1180	3716
241	1183	3707
242	1187	3699
243	1191	3691
244	1195	3683
245	1199	3677
246	1205	3673
247	1208	3665
248	1212	3656
249	1216	3648
250	1220	3641
251	1226	3639
252	1232	3638
253	1238	3637
254	1243	3632
255	1247	3624
256	1251	3619
257	1255	3611
258	1259	3602
259	1263	3595
260	1268	3590
261	1277	3598
262	1296	3631
263	1302	3632
264	1308	3629
265	1313	3624
266	1323	3633
267	1329	3630
268	1334	3625
269	1338	3619
270	1343	3614
271	1347	3607
272	1352	3601
273	1355	3592
274	1359	3584
275	1363	3577
276	1368	3571
277	1372	3563
278	1377	3558
279	1381	3552
280	1385	3545
281	1389	3538
282	1394	3532
283	1397	3524
284	1403	3522
285	1408	3517
286	1413	3510
287	1417	3504
288	1422	3500
289	1427	3495
290	1432	3490
291	1437	3484
292	1441	3479
293	1447	3475
294	1451	3467
295	1455	3461
296	1460	3457
297	1465	3451
298	1469	3445
299	1475	3441
300	1479	3434
301	1483	3427
302	1487	3422
303	1492	3416
304	1496	3409
305	1501	3404
306	1507	3404
307	1512	3398
308	1517	3394
309	1522	3388
310	1526	3381
311	1530	3374
312	1535	3370
313	1540	3365
314	1545	3360
315	1550	3355
316	1554	3349
317	1558	3343
318	1563	3337
319	1568	3332
320	1572	3326
321	1576	3320
322	1581	3315
323	1587	3311
324	1591	3305
325	1595	3299
326	1599	3292
327	1603	3285
328	1607	3278
329	1611	3272
330	1615	3265
331	1619	3259
332	1623	3252
333	1628	3248
334	1632	3241
335	1638	3238
336	1644	3234
337	1648	3228
338	1652	3221
339	1656	3215
340	1662	3211
341	1667	3207
342	1671	3201
343	1676	3197
344	1680	3191
345	1684	3184
346	1688	3177
347	1692	3170
348	1695	3163
349	1699	3156
350	1703	3150
351	1707	3144
352	1712	3137
353	1715	3131
354	1720	3125
355	1725	3121
356	1730	3117
357	1736	3113
358	1741	3110
359	1745	3102
360	1749	3096
361	1754	3092
362	1758	3086
363	1762	3080
364	1767	3074
365	1773	3071
366	1778	3067
367	1784	3064
368	1788	3059
369	1793	3054
370	1797	3047
371	1802	3042
372	1805	3035
373	1809	3028
374	1812	3021
375	1817	3016
376	1822	3011
377	1827	3006
378	1832	3002
379	1836	2996
380	1840	2990
381	1844	2984
382	1849	2979
383	1854	2974
384	1865	2980
385	1871	2976
386	1876	2971
387	1881	2967
388	1885	2961
389	1889	2954
390	1892	2948
391	1897	2942
392	1900	2935
393	1904	2929
394	1908	2923
395	1913	2918
396	1917	2912
397	1921	2906
398	1925	2900
399	1930	2895
400	1934	2889
401	1938	2884
402	1943	2879
403	1947	2873
404	1953	2869
405	1956	2863
406	1961	2857
407	1965	2851
408	1968	2845
409	1973	2839
410	1977	2833
411	1981	2827
412	1985	2821
413	1988	2815
414	1993	2809
415	1997	2804
416	2001	2798
417	2005	2792
418	2009	2786
419	2013	2780
420	2017	2775
421	2022	2769
422	2026	2763
423	2029	2757
424	2034	2752
425	2038	2746
426	2042	2740
427	2046	2734
428	2050	2729
429	2056	2725
430	2061	2721
431	2065	2715
432	2070	2711
433	2074	2705
434	2078	2700
435	2082	2693
436	2086	2688
437	2090	2682
438	2094	2676
439	2099	2671
440	2105	2668
441	2110	2664
442	2115	2660
443	2119	2654
444	2123	2648
445	2127	2642
446	2133	2639
447	2137	2634
448	2141	2628
449	2146	2623
450	2151	2618
451	2155	2612
452	2158	2606
453	2162	2600
454	2166	2595
455	2170	2589
456	2173	2583
457	2177	2577
458	2181	2571
459	2185	2565
460	2188	2559
461	2192	2552
462	2196	2547
463	2200	2541
464	2204	2536
465	2208	2531
466	2213	2525
467	2216	2519
468	2221	2514
469	2224	2509
470	2229	2503
471	2233	2498
472	2238	2494
473	2243	2489
474	2247	2483
475	2251	2478
476	2255	2472
477	2259	2467
478	2263	2461
479	2267	2456
480	2271	2451
481	2276	2446
482	2280	2441
483	2284	2436
484	2288	2430
485	2292	2425
486	2296	2419
487	2300	2413
488	2305	2409
489	2309	2404
490	2313	2398
491	2317	2392
492	2321	2387
493	2324	2381
494	2328	2375
495	2332	2369
496	2335	2364
497	2339	2358
498	2343	2352
499	2347	2347
500	2350	2341
501	2354	2336
502	2358	2330
503	2361	2324
504	2365	2318
505	2368	2312
506	2372	2306
507	2376	2301
508	2379	2295
509	2383	2290
510	2387	2284
511	2391	2279
512	2395	2274
513	2399	2268
514	2403	2263
515	2406	2257
516	2410	2251
517	2413	2245
518	2417	2240
519	2420	2234
520	2424	2228
521	2427	2223
522	2431	2217
523	2435	2212
524	2439	2206
525	2443	2201
526	2447	2196
527	2451	2191
528	2455	2185
529	2459	2180
530	2463	2175
531	2467	2170
532	2471	2165
533	2475	2160
534	2480	2155
535	2484	2150
536	2488	2145
537	2492	2140
538	2496	2135
539	2500	2129
540	2503	2124
541	2507	2118
